order_id,product_id,quantity,unit_price,line_total
ord_demo_00001,prod_demo_22,1,846200,846200
ord_demo_00002,prod_demo_22,1,846200,846200
ord_demo_00003,prod_demo_13,1,10303400,10303400
ord_demo_00004,prod_demo_10,1,3097100,3097100
ord_demo_00005,prod_demo_15,1,91900,91900
ord_demo_00006,prod_demo_03,1,759500,759500
ord_demo_00007,prod_demo_10,1,3097100,3097100
ord_demo_00007,prod_demo_08,1,134500,134500
ord_demo_00008,prod_demo_03,1,759500,759500
ord_demo_00009,prod_demo_13,1,10303400,10303400
ord_demo_00009,prod_demo_06,1,115200,115200
ord_demo_00010,prod_demo_18,1,2159900,2159900
ord_demo_00011,prod_demo_05,1,2942800,2942800
ord_demo_00012,prod_demo_15,1,91900,91900
ord_demo_00013,prod_demo_15,1,91900,91900
ord_demo_00014,prod_demo_21,1,152200,152200
ord_demo_00015,prod_demo_23,1,80800,80800
ord_demo_00016,prod_demo_08,1,134500,134500
ord_demo_00017,prod_demo_07,2,61900,123800
ord_demo_00017,prod_demo_20,1,47100,47100
ord_demo_00018,prod_demo_19,1,418400,418400
ord_demo_00019,prod_demo_12,1,572000,572000
ord_demo_00020,prod_demo_24,1,161200,161200
ord_demo_00021,prod_demo_08,1,134500,134500
ord_demo_00022,prod_demo_22,1,846200,846200
ord_demo_00023,prod_demo_01,1,2033400,2033400
ord_demo_00024,prod_demo_14,1,2359800,2359800
ord_demo_00024,prod_demo_13,1,10303400,10303400
ord_demo_00025,prod_demo_11,1,125100,125100
ord_demo_00026,prod_demo_14,1,2359800,2359800
ord_demo_00026,prod_demo_06,1,115200,115200
ord_demo_00027,prod_demo_08,1,134500,134500
ord_demo_00028,prod_demo_01,1,2033400,2033400
ord_demo_00028,prod_demo_05,1,2942800,2942800
ord_demo_00029,prod_demo_16,1,8342200,8342200
ord_demo_00030,prod_demo_10,1,3097100,3097100
ord_demo_00030,prod_demo_15,1,91900,91900
ord_demo_00031,prod_demo_23,1,80800,80800
ord_demo_00031,prod_demo_20,2,47100,94200
ord_demo_00031,prod_demo_12,1,572000,572000
ord_demo_00032,prod_demo_02,1,804700,804700
ord_demo_00033,prod_demo_14,1,2359800,2359800
ord_demo_00033,prod_demo_15,1,91900,91900
ord_demo_00034,prod_demo_24,1,161200,161200
ord_demo_00035,prod_demo_20,1,47100,47100
ord_demo_00036,prod_demo_11,1,125100,125100
ord_demo_00037,prod_demo_15,1,91900,91900
ord_demo_00038,prod_demo_11,1,125100,125100
ord_demo_00039,prod_demo_09,1,170100,170100
ord_demo_00040,prod_demo_01,1,2033400,2033400
ord_demo_00041,prod_demo_18,1,2159900,2159900
ord_demo_00042,prod_demo_23,1,80800,80800
ord_demo_00043,prod_demo_17,1,262600,262600
ord_demo_00044,prod_demo_10,1,3097100,3097100
ord_demo_00045,prod_demo_18,1,2159900,2159900
ord_demo_00046,prod_demo_07,1,61900,61900
ord_demo_00047,prod_demo_07,1,61900,61900
ord_demo_00048,prod_demo_02,1,804700,804700
ord_demo_00049,prod_demo_01,1,2033400,2033400
ord_demo_00050,prod_demo_03,1,759500,759500
ord_demo_00050,prod_demo_20,1,47100,47100
ord_demo_00051,prod_demo_04,1,103300,103300
ord_demo_00052,prod_demo_20,1,47100,47100
ord_demo_00053,prod_demo_15,1,91900,91900
ord_demo_00054,prod_demo_20,2,47100,94200
ord_demo_00055,prod_demo_07,2,61900,123800
ord_demo_00055,prod_demo_03,1,759500,759500
ord_demo_00056,prod_demo_15,1,91900,91900
ord_demo_00056,prod_demo_10,1,3097100,3097100
ord_demo_00057,prod_demo_22,1,846200,846200
ord_demo_00058,prod_demo_04,1,103300,103300
ord_demo_00059,prod_demo_09,1,170100,170100
ord_demo_00059,prod_demo_06,1,115200,115200
ord_demo_00060,prod_demo_24,1,161200,161200
ord_demo_00061,prod_demo_13,1,10303400,10303400
ord_demo_00061,prod_demo_20,1,47100,47100
ord_demo_00062,prod_demo_08,1,134500,134500
ord_demo_00063,prod_demo_01,1,2033400,2033400
ord_demo_00064,prod_demo_06,1,115200,115200
ord_demo_00065,prod_demo_14,1,2359800,2359800
ord_demo_00066,prod_demo_11,1,125100,125100
ord_demo_00067,prod_demo_14,1,2359800,2359800
ord_demo_00068,prod_demo_15,1,91900,91900
ord_demo_00068,prod_demo_20,1,47100,47100
ord_demo_00069,prod_demo_18,1,2159900,2159900
ord_demo_00070,prod_demo_17,1,262600,262600
ord_demo_00071,prod_demo_18,1,2159900,2159900
ord_demo_00072,prod_demo_23,1,80800,80800
ord_demo_00072,prod_demo_22,1,846200,846200
ord_demo_00073,prod_demo_04,1,103300,103300
ord_demo_00074,prod_demo_05,1,2942800,2942800
ord_demo_00075,prod_demo_16,1,8342200,8342200
ord_demo_00076,prod_demo_03,1,759500,759500
ord_demo_00077,prod_demo_01,1,2033400,2033400
ord_demo_00078,prod_demo_05,1,2942800,2942800
ord_demo_00079,prod_demo_11,1,125100,125100
ord_demo_00080,prod_demo_13,1,10303400,10303400
ord_demo_00080,prod_demo_23,1,80800,80800
ord_demo_00080,prod_demo_21,1,152200,152200
ord_demo_00081,prod_demo_02,1,804700,804700
ord_demo_00081,prod_demo_15,1,91900,91900
ord_demo_00082,prod_demo_24,1,161200,161200
ord_demo_00083,prod_demo_03,1,759500,759500
ord_demo_00084,prod_demo_18,1,2159900,2159900
ord_demo_00085,prod_demo_23,1,80800,80800
ord_demo_00086,prod_demo_22,1,846200,846200
ord_demo_00087,prod_demo_21,1,152200,152200
ord_demo_00088,prod_demo_06,1,115200,115200
ord_demo_00088,prod_demo_02,1,804700,804700
ord_demo_00089,prod_demo_12,1,572000,572000
ord_demo_00090,prod_demo_03,1,759500,759500
ord_demo_00091,prod_demo_08,1,134500,134500
ord_demo_00092,prod_demo_15,1,91900,91900
ord_demo_00093,prod_demo_10,1,3097100,3097100
ord_demo_00094,prod_demo_13,1,10303400,10303400
ord_demo_00094,prod_demo_21,1,152200,152200
ord_demo_00095,prod_demo_09,1,170100,170100
ord_demo_00095,prod_demo_20,1,47100,47100
ord_demo_00096,prod_demo_12,1,572000,572000
ord_demo_00096,prod_demo_20,1,47100,47100
ord_demo_00097,prod_demo_04,1,103300,103300
ord_demo_00098,prod_demo_10,1,3097100,3097100
ord_demo_00098,prod_demo_15,2,91900,183800
ord_demo_00099,prod_demo_24,1,161200,161200
ord_demo_00100,prod_demo_18,1,2159900,2159900
ord_demo_00101,prod_demo_09,1,170100,170100
ord_demo_00102,prod_demo_11,1,125100,125100
ord_demo_00103,prod_demo_05,1,2942800,2942800
ord_demo_00104,prod_demo_03,1,759500,759500
ord_demo_00104,prod_demo_20,1,47100,47100
ord_demo_00105,prod_demo_21,1,152200,152200
ord_demo_00106,prod_demo_08,1,134500,134500
ord_demo_00107,prod_demo_18,1,2159900,2159900
ord_demo_00108,prod_demo_23,1,80800,80800
ord_demo_00109,prod_demo_04,1,103300,103300
ord_demo_00110,prod_demo_13,1,10303400,10303400
ord_demo_00111,prod_demo_04,1,103300,103300
ord_demo_00112,prod_demo_09,1,170100,170100
ord_demo_00112,prod_demo_20,1,47100,47100
ord_demo_00113,prod_demo_12,1,572000,572000
ord_demo_00113,prod_demo_15,1,91900,91900
ord_demo_00114,prod_demo_22,1,846200,846200
ord_demo_00114,prod_demo_11,1,125100,125100
ord_demo_00115,prod_demo_19,1,418400,418400
ord_demo_00116,prod_demo_19,1,418400,418400
ord_demo_00117,prod_demo_05,1,2942800,2942800
ord_demo_00118,prod_demo_18,1,2159900,2159900
ord_demo_00119,prod_demo_22,1,846200,846200
ord_demo_00119,prod_demo_20,1,47100,47100
ord_demo_00120,prod_demo_02,1,804700,804700
ord_demo_00120,prod_demo_23,1,80800,80800
ord_demo_00121,prod_demo_15,1,91900,91900
ord_demo_00121,prod_demo_22,1,846200,846200
ord_demo_00122,prod_demo_01,1,2033400,2033400
ord_demo_00122,prod_demo_17,1,262600,262600
ord_demo_00123,prod_demo_23,2,80800,161600
ord_demo_00123,prod_demo_02,1,804700,804700
ord_demo_00124,prod_demo_20,1,47100,47100
ord_demo_00125,prod_demo_17,1,262600,262600
ord_demo_00125,prod_demo_20,1,47100,47100
ord_demo_00126,prod_demo_15,1,91900,91900
ord_demo_00127,prod_demo_14,1,2359800,2359800
ord_demo_00128,prod_demo_03,1,759500,759500
ord_demo_00128,prod_demo_20,2,47100,94200
ord_demo_00129,prod_demo_18,1,2159900,2159900
ord_demo_00130,prod_demo_12,1,572000,572000
ord_demo_00131,prod_demo_10,1,3097100,3097100
ord_demo_00132,prod_demo_08,1,134500,134500
ord_demo_00133,prod_demo_18,1,2159900,2159900
ord_demo_00134,prod_demo_08,1,134500,134500
ord_demo_00135,prod_demo_20,1,47100,47100
ord_demo_00136,prod_demo_06,1,115200,115200
ord_demo_00137,prod_demo_06,1,115200,115200
ord_demo_00138,prod_demo_01,1,2033400,2033400
ord_demo_00139,prod_demo_06,1,115200,115200
ord_demo_00140,prod_demo_03,1,759500,759500
ord_demo_00140,prod_demo_20,1,47100,47100
ord_demo_00141,prod_demo_17,1,262600,262600
ord_demo_00141,prod_demo_23,1,80800,80800
ord_demo_00141,prod_demo_20,1,47100,47100
ord_demo_00142,prod_demo_07,1,61900,61900
ord_demo_00143,prod_demo_01,1,2033400,2033400
ord_demo_00144,prod_demo_17,1,262600,262600
ord_demo_00145,prod_demo_01,1,2033400,2033400
ord_demo_00145,prod_demo_15,1,91900,91900
ord_demo_00146,prod_demo_10,1,3097100,3097100
ord_demo_00146,prod_demo_15,1,91900,91900
ord_demo_00147,prod_demo_23,1,80800,80800
ord_demo_00147,prod_demo_02,1,804700,804700
ord_demo_00148,prod_demo_13,1,10303400,10303400
ord_demo_00148,prod_demo_01,1,2033400,2033400
ord_demo_00149,prod_demo_05,1,2942800,2942800
ord_demo_00150,prod_demo_21,1,152200,152200
ord_demo_00151,prod_demo_19,1,418400,418400
ord_demo_00152,prod_demo_21,1,152200,152200
ord_demo_00153,prod_demo_21,1,152200,152200
ord_demo_00154,prod_demo_16,1,8342200,8342200
ord_demo_00154,prod_demo_20,2,47100,94200
ord_demo_00155,prod_demo_21,1,152200,152200
ord_demo_00156,prod_demo_20,1,47100,47100
ord_demo_00157,prod_demo_24,1,161200,161200
ord_demo_00158,prod_demo_19,1,418400,418400
ord_demo_00159,prod_demo_05,1,2942800,2942800
ord_demo_00160,prod_demo_08,1,134500,134500
ord_demo_00161,prod_demo_17,1,262600,262600
ord_demo_00162,prod_demo_20,1,47100,47100
ord_demo_00162,prod_demo_21,1,152200,152200
ord_demo_00163,prod_demo_04,1,103300,103300
ord_demo_00164,prod_demo_09,1,170100,170100
ord_demo_00165,prod_demo_05,1,2942800,2942800
ord_demo_00166,prod_demo_23,2,80800,161600
ord_demo_00167,prod_demo_21,1,152200,152200
ord_demo_00168,prod_demo_23,1,80800,80800
ord_demo_00169,prod_demo_14,1,2359800,2359800
ord_demo_00169,prod_demo_15,1,91900,91900
ord_demo_00170,prod_demo_08,1,134500,134500
ord_demo_00171,prod_demo_10,1,3097100,3097100
ord_demo_00171,prod_demo_06,1,115200,115200
ord_demo_00172,prod_demo_23,1,80800,80800
ord_demo_00173,prod_demo_22,1,846200,846200
ord_demo_00174,prod_demo_18,1,2159900,2159900
ord_demo_00175,prod_demo_07,1,61900,61900
ord_demo_00176,prod_demo_17,1,262600,262600
ord_demo_00176,prod_demo_20,1,47100,47100
ord_demo_00177,prod_demo_12,1,572000,572000
ord_demo_00177,prod_demo_20,1,47100,47100
ord_demo_00178,prod_demo_14,1,2359800,2359800
ord_demo_00179,prod_demo_01,1,2033400,2033400
ord_demo_00180,prod_demo_04,1,103300,103300
ord_demo_00181,prod_demo_05,1,2942800,2942800
ord_demo_00182,prod_demo_23,2,80800,161600
ord_demo_00183,prod_demo_05,1,2942800,2942800
ord_demo_00184,prod_demo_10,1,3097100,3097100
ord_demo_00185,prod_demo_03,1,759500,759500
ord_demo_00185,prod_demo_23,1,80800,80800
ord_demo_00185,prod_demo_09,1,170100,170100
ord_demo_00186,prod_demo_12,1,572000,572000
ord_demo_00187,prod_demo_17,1,262600,262600
ord_demo_00187,prod_demo_16,1,8342200,8342200
ord_demo_00188,prod_demo_13,1,10303400,10303400
ord_demo_00188,prod_demo_09,1,170100,170100
ord_demo_00189,prod_demo_18,1,2159900,2159900
ord_demo_00190,prod_demo_22,1,846200,846200
ord_demo_00191,prod_demo_15,1,91900,91900
ord_demo_00191,prod_demo_20,1,47100,47100
ord_demo_00191,prod_demo_03,1,759500,759500
ord_demo_00192,prod_demo_18,1,2159900,2159900
ord_demo_00193,prod_demo_21,1,152200,152200
ord_demo_00194,prod_demo_21,1,152200,152200
ord_demo_00195,prod_demo_12,1,572000,572000
ord_demo_00196,prod_demo_16,1,8342200,8342200
ord_demo_00196,prod_demo_14,1,2359800,2359800
ord_demo_00196,prod_demo_20,1,47100,47100
ord_demo_00197,prod_demo_10,1,3097100,3097100
ord_demo_00197,prod_demo_15,1,91900,91900
ord_demo_00198,prod_demo_24,1,161200,161200
ord_demo_00199,prod_demo_14,1,2359800,2359800
ord_demo_00200,prod_demo_21,1,152200,152200
ord_demo_00201,prod_demo_24,1,161200,161200
ord_demo_00202,prod_demo_20,1,47100,47100
ord_demo_00203,prod_demo_08,1,134500,134500
ord_demo_00204,prod_demo_13,1,10303400,10303400
ord_demo_00204,prod_demo_08,1,134500,134500
ord_demo_00205,prod_demo_09,1,170100,170100
ord_demo_00206,prod_demo_17,1,262600,262600
ord_demo_00207,prod_demo_20,1,47100,47100
ord_demo_00208,prod_demo_05,1,2942800,2942800
ord_demo_00209,prod_demo_22,1,846200,846200
ord_demo_00210,prod_demo_10,1,3097100,3097100
ord_demo_00211,prod_demo_12,1,572000,572000
ord_demo_00211,prod_demo_20,1,47100,47100
ord_demo_00212,prod_demo_05,1,2942800,2942800
ord_demo_00212,prod_demo_15,1,91900,91900
ord_demo_00213,prod_demo_14,1,2359800,2359800
ord_demo_00213,prod_demo_11,1,125100,125100
ord_demo_00214,prod_demo_15,1,91900,91900
ord_demo_00215,prod_demo_06,1,115200,115200
ord_demo_00216,prod_demo_04,1,103300,103300
ord_demo_00217,prod_demo_06,1,115200,115200
ord_demo_00218,prod_demo_10,1,3097100,3097100
ord_demo_00219,prod_demo_03,1,759500,759500
ord_demo_00219,prod_demo_20,1,47100,47100
ord_demo_00220,prod_demo_19,1,418400,418400
ord_demo_00220,prod_demo_20,1,47100,47100
ord_demo_00221,prod_demo_21,1,152200,152200
ord_demo_00222,prod_demo_20,1,47100,47100
ord_demo_00223,prod_demo_10,1,3097100,3097100
ord_demo_00224,prod_demo_03,1,759500,759500
