id,merchant_id,customer_id,total,status,created_at
ord_demo_00001,m_demo,cust_demo_095,846200,paid,2026-05-09T10:58:35.460165
ord_demo_00002,m_demo,cust_demo_041,846200,paid,2026-05-09T03:09:25.460165
ord_demo_00003,m_demo,cust_demo_042,10303400,paid,2026-05-08T18:37:27.460165
ord_demo_00004,m_demo,cust_demo_073,3097100,paid,2026-05-09T19:56:26.460165
ord_demo_00005,m_demo,cust_demo_042,91900,paid,2026-05-10T18:27:58.460165
ord_demo_00006,m_demo,cust_demo_085,759500,paid,2026-05-10T20:50:21.460165
ord_demo_00007,m_demo,cust_demo_087,3231600,paid,2026-05-11T05:35:14.460165
ord_demo_00008,m_demo,cust_demo_079,759500,paid,2026-05-11T02:16:05.460165
ord_demo_00009,m_demo,cust_demo_064,10418600,paid,2026-05-11T07:08:46.460165
ord_demo_00010,m_demo,cust_demo_007,2159900,paid,2026-05-11T16:42:23.460165
ord_demo_00011,m_demo,cust_demo_059,2942800,paid,2026-05-12T09:58:04.460165
ord_demo_00012,m_demo,cust_demo_041,91900,paid,2026-05-12T08:14:07.460165
ord_demo_00013,m_demo,cust_demo_061,91900,paid,2026-05-13T07:16:04.460165
ord_demo_00014,m_demo,cust_demo_063,152200,paid,2026-05-13T04:18:11.460165
ord_demo_00015,m_demo,cust_demo_010,80800,paid,2026-05-12T17:19:33.460165
ord_demo_00016,m_demo,cust_demo_020,134500,paid,2026-05-12T17:51:05.460165
ord_demo_00017,m_demo,cust_demo_091,170900,paid,2026-05-13T02:28:06.460165
ord_demo_00018,m_demo,cust_demo_116,418400,paid,2026-05-13T02:08:14.460165
ord_demo_00019,m_demo,cust_demo_001,572000,paid,2026-05-14T07:53:02.460165
ord_demo_00020,m_demo,cust_demo_096,161200,paid,2026-05-14T10:15:06.460165
ord_demo_00021,m_demo,cust_demo_115,134500,paid,2026-05-13T22:13:31.460165
ord_demo_00022,m_demo,cust_demo_086,846200,paid,2026-05-15T10:56:37.460165
ord_demo_00023,m_demo,cust_demo_069,2033400,paid,2026-05-14T15:20:40.460165
ord_demo_00024,m_demo,cust_demo_083,12663200,paid,2026-05-15T00:12:23.460165
ord_demo_00025,m_demo,cust_demo_059,125100,paid,2026-05-16T02:05:29.460165
ord_demo_00026,m_demo,cust_demo_036,2475000,paid,2026-05-15T14:11:03.460165
ord_demo_00027,m_demo,cust_demo_045,134500,paid,2026-05-16T12:01:03.460165
ord_demo_00028,m_demo,cust_demo_006,4976200,paid,2026-05-15T20:58:23.460165
ord_demo_00029,m_demo,cust_demo_017,8342200,paid,2026-05-16T10:23:50.460165
ord_demo_00030,m_demo,cust_demo_021,3189000,paid,2026-05-17T01:57:09.460165
ord_demo_00031,m_demo,cust_demo_051,747000,paid,2026-05-17T08:53:34.460165
ord_demo_00032,m_demo,cust_demo_101,804700,paid,2026-05-17T00:42:42.460165
ord_demo_00033,m_demo,cust_demo_002,2451700,paid,2026-05-16T17:51:29.460165
ord_demo_00034,m_demo,cust_demo_023,161200,paid,2026-05-18T11:58:13.460165
ord_demo_00035,m_demo,cust_demo_035,47100,paid,2026-05-18T05:53:29.460165
ord_demo_00036,m_demo,cust_demo_035,125100,paid,2026-05-18T15:26:36.460165
ord_demo_00037,m_demo,cust_demo_036,91900,paid,2026-05-18T13:19:58.460165
ord_demo_00038,m_demo,cust_demo_109,125100,paid,2026-05-19T20:00:39.460165
ord_demo_00039,m_demo,cust_demo_046,170100,paid,2026-05-19T22:20:48.460165
ord_demo_00040,m_demo,cust_demo_072,2033400,paid,2026-05-20T03:05:08.460165
ord_demo_00041,m_demo,cust_demo_063,2159900,paid,2026-05-20T05:37:19.460165
ord_demo_00042,m_demo,cust_demo_083,80800,paid,2026-05-19T21:08:47.460165
ord_demo_00043,m_demo,cust_demo_071,262600,paid,2026-05-21T04:48:30.460165
ord_demo_00044,m_demo,cust_demo_035,3097100,paid,2026-05-20T16:38:27.460165
ord_demo_00045,m_demo,cust_demo_096,2159900,paid,2026-05-20T19:01:44.460165
ord_demo_00046,m_demo,cust_demo_025,61900,paid,2026-05-21T10:00:59.460165
ord_demo_00047,m_demo,cust_demo_013,61900,paid,2026-05-21T16:53:48.460165
ord_demo_00048,m_demo,cust_demo_036,804700,paid,2026-05-22T06:09:37.460165
ord_demo_00049,m_demo,cust_demo_014,2033400,paid,2026-05-21T19:00:01.460165
