id,merchant_id,name,category,price,cost_price,margin_pct,stock,description
prod_demo_01,m_demo,27in 144Hz Monitor Ultra 1,monitor,2033400,1723670,15,31,27in 144Hz Monitor monitor - realistic catalog
prod_demo_02,m_demo,Mechanical Keyboard TKL RGB 2,keyboard,804700,503688,37,41,Mechanical Keyboard TKL keyboard - realistic catalog
prod_demo_03,m_demo,Mechanical Keyboard TKL RGB 3,keyboard,759500,515044,32,36,Mechanical Keyboard TKL keyboard - realistic catalog
prod_demo_04,m_demo,Laptop Bag 15in Ultra 4,bag,103300,61347,41,72,Laptop Bag 15in bag - realistic catalog
prod_demo_05,m_demo,27in 144Hz Monitor Pro 5,monitor,2942800,2478370,16,16,27in 144Hz Monitor monitor - realistic catalog
prod_demo_06,m_demo,Wireless Gaming Mouse Air 6,mouse,115200,65200,43,142,Wireless Gaming Mouse mouse - realistic catalog
prod_demo_07,m_demo,Ergonomic Mouse Max 7,mouse,61900,31822,49,191,Ergonomic Mouse mouse - realistic catalog
prod_demo_08,m_demo,Laptop Bag 15in Ultra 8,bag,134500,76569,43,84,Laptop Bag 15in bag - realistic catalog
prod_demo_09,m_demo,Wired Headset Max 9,headset,170100,105822,38,140,Wired Headset headset - realistic catalog
prod_demo_10,m_demo,27in 144Hz Monitor Max 10,monitor,3097100,2420243,22,38,27in 144Hz Monitor monitor - realistic catalog
prod_demo_11,m_demo,Laptop Bag 15in Max 11,bag,125100,78463,37,67,Laptop Bag 15in bag - realistic catalog
prod_demo_12,m_demo,Mechanical Keyboard TKL Lite 12,keyboard,572000,350837,39,35,Mechanical Keyboard TKL keyboard - realistic catalog
prod_demo_13,m_demo,Gaming Laptop 16GB RTX4060 Air 13,laptop,10303400,9200749,11,8,Gaming Laptop 16GB RTX4060 laptop - realistic catalog
prod_demo_14,m_demo,27in 144Hz Monitor Ultra 14,monitor,2359800,2036176,14,21,27in 144Hz Monitor monitor - realistic catalog
prod_demo_15,m_demo,Wireless Gaming Mouse Lite 15,mouse,91900,53638,42,59,Wireless Gaming Mouse mouse - realistic catalog
prod_demo_16,m_demo,Gaming Laptop 16GB RTX4060 Air 16,laptop,8342200,7110891,15,3,Gaming Laptop 16GB RTX4060 laptop - realistic catalog
prod_demo_17,m_demo,Gaming Keyboard RGB 17,keyboard,262600,172971,34,71,Gaming Keyboard keyboard - realistic catalog
prod_demo_18,m_demo,Gaming Chair Ergonomic Lite 18,chair,2159900,1789989,17,21,Gaming Chair Ergonomic chair - realistic catalog
prod_demo_19,m_demo,Wireless Headset ANC RGB 19,headset,418400,270009,35,44,Wireless Headset ANC headset - realistic catalog
prod_demo_20,m_demo,XL Mousepad 900x400 Lite 20,mousepad,47100,17676,62,214,XL Mousepad 900x400 mousepad - realistic catalog
prod_demo_21,m_demo,Laptop Bag 15in Lite 21,bag,152200,96824,36,15,Laptop Bag 15in bag - realistic catalog
prod_demo_22,m_demo,Mechanical Keyboard TKL Pro 22,keyboard,846200,588353,30,76,Mechanical Keyboard TKL keyboard - realistic catalog
prod_demo_23,m_demo,Wireless Gaming Mouse Lite 23,mouse,80800,47966,41,131,Wireless Gaming Mouse mouse - realistic catalog
prod_demo_24,m_demo,Laptop Bag 15in RGB 24,bag,161200,96250,40,45,Laptop Bag 15in bag - realistic catalog
prod_acme_01,m_acme,Wireless Headset ANC Air 1,headset,351600,200596,43,57,Wireless Headset ANC headset - realistic catalog
prod_acme_02,m_acme,Ultrabook 14in Ultra 2,laptop,8492000,6976265,18,13,Ultrabook 14in laptop - realistic catalog
prod_acme_03,m_acme,Ultrabook 14in RGB 3,laptop,7627800,6363404,17,11,Ultrabook 14in laptop - realistic catalog
prod_acme_04,m_acme,Wireless Gaming Mouse Air 4,mouse,98400,58079,41,144,Wireless Gaming Mouse mouse - realistic catalog
prod_acme_05,m_acme,Gaming Chair Ergonomic Ultra 5,chair,2042400,1549645,24,18,Gaming Chair Ergonomic chair - realistic catalog
prod_acme_06,m_acme,Ultrabook 14in Max 6,laptop,8244800,6806733,17,15,Ultrabook 14in laptop - realistic catalog
prod_acme_07,m_acme,Wireless Headset ANC RGB 7,headset,336700,213074,37,70,Wireless Headset ANC headset - realistic catalog
prod_acme_08,m_acme,Gaming Laptop 16GB RTX4060 RGB 8,laptop,10390300,8762770,16,7,Gaming Laptop 16GB RTX4060 laptop - realistic catalog
prod_acme_09,m_acme,Laptop Bag 15in Ultra 9,bag,181200,108711,40,116,Laptop Bag 15in bag - realistic catalog
prod_acme_10,m_acme,Wireless Headset ANC Pro 10,headset,388700,248831,36,79,Wireless Headset ANC headset - realistic catalog
prod_acme_11,m_acme,Wireless Gaming Mouse Lite 11,mouse,77900,39049,50,158,Wireless Gaming Mouse mouse - realistic catalog
prod_acme_12,m_acme,Wireless Gaming Mouse Air 12,mouse,101300,52043,49,118,Wireless Gaming Mouse mouse - realistic catalog
prod_acme_13,m_acme,Mechanical Keyboard TKL Pro 13,keyboard,705600,471805,33,19,Mechanical Keyboard TKL keyboard - realistic catalog
prod_acme_14,m_acme,Gaming Keyboard Air 14,keyboard,298500,215710,28,151,Gaming Keyboard keyboard - realistic catalog
prod_acme_15,m_acme,Laptop Bag 15in RGB 15,bag,120600,77328,36,28,Laptop Bag 15in bag - realistic catalog
prod_acme_16,m_acme,Wireless Headset ANC Lite 16,headset,415900,260793,37,62,Wireless Headset ANC headset - realistic catalog
prod_acme_17,m_acme,Wired Headset Pro 17,headset,150100,83595,44,128,Wired Headset headset - realistic catalog
prod_acme_18,m_acme,Ultrabook 14in Air 18,laptop,7727300,6470310,16,14,Ultrabook 14in laptop - realistic catalog
